时间,商品名称,库存变化,单笔销量
2026-05-01 18:56:26,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 18:56:43,旧【线下签售】,初始库存：99999,0
2026-05-01 19:01:41,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:18,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:35,旧【线下签售】,初始库存：99999,0
2026-05-01 19:10:04,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:10:21,旧【线下签售】,初始库存：99999,0
2026-05-01 19:58:26,旧【线下签售】前2000张,99999 -> 99998,1
2026-05-01 21:16:17,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:16:33,旧【线下签售】,初始库存：99999,0
2026-05-01 21:18:34,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:18:51,旧【线下签售】,初始库存：99999,0
2026-05-01 21:46:00,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:46:17,旧【线下签售】,初始库存：99999,0
2026-05-01 21:55:03,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:55:29,旧【线下签售】,初始库存：99999,0
2026-05-01 23:19:42,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 23:20:00,旧【线下签售】,初始库存：99999,0
2026-05-02 14:07:38,旧【线下签售】前2000张,初始库存：99998,0
2026-05-02 14:07:53,旧【线下签售】,初始库存：99999,0
2026-05-02 14:09:02,旧【线下签售】前2000张,初始库存：99998,0
2026-05-02 14:09:22,旧【线下签售】,初始库存：99999,0
2026-05-02 18:58:29,旧【线下签售】前2000张,初始库存：99998,0
2026-05-02 18:58:46,旧【线下签售】,初始库存：99999,0
2026-05-02 21:47:50,旧【线下签售】前2000张,初始库存：99998,0
2026-05-02 21:48:13,旧【线下签售】,初始库存：99999,0
2026-05-03 13:50:05,旧【线下签售】前2000张,初始库存：99998,0
2026-05-03 13:50:22,旧【线下签售】,初始库存：99999,0
2026-05-03 15:41:30,旧【线下签售】前2000张,初始库存：99998,0
2026-05-03 15:41:48,旧【线下签售】,初始库存：99999,0
2026-05-03 17:08:46,旧【线下签售】前2000张,初始库存：99998,0
2026-05-03 17:10:08,旧【线下签售】,初始库存：99999,0
2026-05-03 20:48:29,旧【线下签售】前2000张,初始库存：99998,0
2026-05-03 20:48:45,旧【线下签售】,初始库存：99999,0
2026-05-03 21:19:44,旧【线下签售】前2000张,初始库存：99998,0
2026-05-03 21:20:01,旧【线下签售】,初始库存：99999,0
2026-05-04 00:16:15,旧【线下签售】前2000张,初始库存：99998,0
2026-05-04 00:16:36,旧【线下签售】,初始库存：99999,0
2026-05-04 02:32:13,旧【线下签售】前2000张,99998 -> 99991,7
2026-05-04 14:26:55,旧【线下签售】前2000张,初始库存：99991,0
2026-05-04 14:27:12,旧【线下签售】,初始库存：99999,0
2026-05-04 19:29:40,旧【线下签售】前2000张,初始库存：99991,0
2026-05-04 19:30:02,旧【线下签售】,初始库存：99999,0
2026-05-04 21:43:36,旧【线下签售】前2000张,初始库存：99991,0
2026-05-04 21:43:53,旧【线下签售】,初始库存：99999,0
